seq_no,meter_id,meter_disagg_start,meter_disagg_end,usage_interval_duration
218,0031506ac642bd80346b9bc4b2f134fce660c152_AMI,1722470400,1725061500,15 minute
219,003172c7427581718ec939624f12a5853688420c_AMI,1722470400,1725061500,15 minute
220,0031ae5a8dd3e455af456ac52227fadadb3b62d6_AMI,1722470400,1725061500,15 minute
221,0031c4bb4c50a3852437dd91cfe0ec8d59454835_AMI,1722470400,1725061500,15 minute
222,0031ef15674beaafc808c6331e06d1b0d641a723_AMI,1722470400,1725061500,15 minute
223,00323413e78b116d9d5b1f0fd12d8fe433a1bc91_AMI,1722470400,1725061500,15 minute
224,00326332d93357cc0524044c7f433ecfb0bbafc8_AMI,1722470400,1725061500,15 minute
225,00326ac32f092c7942caaf49f31916ff9430d247_AMI,1722470400,1725061500,15 minute
226,003273f415e651644b54643bde17c07289410716_AMI,1722470400,1725061500,15 minute
227,0032843f15af676b71967ebc9190ad429ea26950_AMI,1722470400,1725061500,15 minute
228,0032a0a61e51daa494cae784ab36ca732215aaa8_AMI,1722470400,1725061500,15 minute
229,0032cded5c161bb3b2e39bbc864384dc7dc0940c_AMI,1722470400,1725061500,15 minute
230,0032dd92367bd26fd462a152ab4cac6a798de80c_AMI,1722470400,1725061500,15 minute
231,00330172358c873ca18d8d9188850b7bce6245ad_AMI,1722470400,1725061500,15 minute
232,0033405254194dc3a46702adad0b6e579b03dff8_AMI,1722470400,1725061500,15 minute
233,00338d514731ad13e75d2e9554bcfce1cc980deb_AMI,1722470400,1725061500,15 minute
234,0033ac15bb59299f799f780a47b3114d4cffd24e_AMI,1722470400,1725061500,15 minute
235,0033c26855618729860fc7c23a0b29e61ec456c3_AMI,1722470400,1725061500,15 minute
236,003443f5fa85d568c99eee7291df5a94ef44b9a5_AMI,1722470400,1725061500,15 minute
237,00348e0acf912e1db10ed58a565ec47ed446b41f_AMI,1722470400,1725061500,15 minute
238,0034c2e934d1a0d3adfeafda392f4d0ede9d65df_AMI,1722470400,1725061500,15 minute
239,0034ead6b259687a8527e1434b40b63383429fa3_AMI,1722470400,1725061500,15 minute
240,003552a04a8e093cbe589b61da2780550470603d_AMI,1722470400,1725061500,15 minute
241,0035ab57a7c60c79836d56067165a61be0a88bb8_AMI,1722470400,1725061500,15 minute
242,0035ed2e216adf41d6dccfe96d2a3fd1af8d5732_AMI,1722470400,1725061500,15 minute
243,0035f0c4c1f5cdf280b5058c638a865c62fa4ad7_AMI,1722470400,1725061500,15 minute
244,0036010c5d1dc78468310e380d968d521e07b13a_AMI,1722470400,1725061500,15 minute
245,00362821961c0783363b20b20e4ab9db2d7312f9_AMI,1722470400,1725061500,15 minute
246,00370501a100b3ce0792bee6c5fc6099aead5f7e_AMI,1722470400,1725061500,15 minute
247,0037cd9ec63e107836bf50293badcc700fc40ee6_AMI,1722470400,1725061500,15 minute
